country_code;region_name;iata;icao;airport;latitude;longitude
CN;Xinjiang;KRY;ZWKM;Karamay Airport;45,46650;84,95270
CN;Xinjiang;NLT;ZWNL;Xinyuan Nalati Airport;43,43180;83,37860
CN;Xinjiang;QSZ;;Shache Airport;38,28110;77,07520
CN;Xinjiang;RQA;ZWRQ;Ruoqiang Loulan Airport;38,97470;88,00830
CN;Xinjiang;SHF;ZWHZ;Shihezi Huayuan Airport;44,24210;85,89050
CN;Xinjiang;SXJ;ZWSS;Shanshan Airport;42,91170;90,24750
CN;Xinjiang;TCG;ZWTC;Tacheng Airport;46,67250;83,34080
CN;Xinjiang;TLQ;ZWTL;Turpan Jiaohe Airport;43,03080;89,09870
CN;Xinjiang;URC;ZWWW;Urumqi Diwopu International Airport;43,90710;87,47420
CN;Xinjiang;YIN;ZWYN;Yining Airport;43,95580;81,33030
CN;Xizang;BPX;ZUBD;Qamdo Bamda Airport;30,55360;97,10830
CN;Xizang;LXA;ZULS;Lhasa Gonggar Airport;29,29780;90,91190
CN;Xizang;LZY;ZUNZ;Nyingchi Mainling Airport;29,30330;94,33530
CN;Xizang;NGQ;ZUAL;Ngari Gunsa Airport;32,10000;80,05310
CN;Xizang;RKZ;ZURK;Shigatse Peace Airport;29,35190;89,31140
CN;Yunnan;BSD;ZPBS;Baoshan Yunduan Airport;25,05330;99,16830
CN;Yunnan;CWJ;ZPCW;Cangyuan Washan Airport;23,27390;99,37360
CN;Yunnan;DIG;ZPDQ;Diqing Shangri-La Airport;27,79360;99,67720
CN;Yunnan;DLU;ZPDL;Dali Airport;25,64940;100,31900
CN;Yunnan;JHG;ZPJH;Xishuangbanna Gasa Airport;21,97390;100,76000
CN;Yunnan;JMJ;ZPJM;Lancang Jingmai Airport;22,41580;99,78640
CN;Yunnan;KMG;ZPPP;Kunming Changshui International Airport;25,10190;102,92900
CN;Yunnan;LJG;ZPLJ;Lijiang Sanyi Airport;26,68000;100,24600
CN;Yunnan;LNJ;ZPLC;Lincang Airport;23,73810;100,02500
CN;Yunnan;LUM;ZPMS;Dehong Mangshi Airport;24,40110;98,53170
CN;Yunnan;NLH;;Ninglang Luguhu Airport;27,54030;100,75900
CN;Yunnan;SYM;ZPSM;Pu'er Simao Airport;22,79330;100,95900
CN;Yunnan;TCZ;ZUTC;Tengchong Tuofeng Airport;24,93810;98,48580
CN;Yunnan;WNH;ZPWS;Wenshan Puzhehei Airport;23,55830;104,32600
CN;Yunnan;YUA;ZPYM;Yuanmou Air Base;25,73750;101,88200
CN;Yunnan;ZAT;ZPZT;Zhaotong Airport;27,32560;103,75500
CN;Zhejiang;HGH;ZSHC;Hangzhou Xiaoshan International Airport;30,22950;120,43400
CN;Zhejiang;HSN;ZSZS;Zhoushan Putuoshan Airport;29,93420;122,36200
CN;Zhejiang;HYN;ZSLQ;Taizhou Luqiao Airport;28,56220;121,42900
CN;Zhejiang;JUZ;ZSJU;Quzhou Airport;28,96580;118,89900
CN;Zhejiang;NGB;ZSNB;Ningbo Lishe International Airport;29,82670;121,46200
CN;Zhejiang;WNZ;ZSWZ;Wenzhou Longwan International Airport;27,91220;120,85200
CN;Zhejiang;YIW;ZSYW;Yiwu Airport;29,34470;120,03200
CO;Amazonas;ACM;;Arica Airport (Colombia);-2,14544;-71,75810
CO;Amazonas;AYC;;Ayacucho Airport;8,60000;-73,61670
